State,Time (s),Time (ms),Pressure (Pa),Temperature ©,Temperature (C/100),Accel,Accel X,Accel Y,Accel Z,Batt Sense,Cut Sense 1,Cut Sense 2,Current Sense,Photoresistor
0,23.383,23383,102530,31.70074219,3170.074219,0.990378567,0.159668,0.807129,-0.55127,580,581,581,445,92
0,23.467,23467,102532,31.69691162,3169.691162,0.994236726,0.163574,0.809082,-0.554199,580,582,582,444,91
0,23.55,23550,102532,31.69645752,3169.645752,0.992352631,0.161133,0.808594,-0.552246,581,580,584,447,92
0,23.633,23633,102525,31.69347412,3169.347412,0.996144642,0.161133,0.80957,-0.557617,581,581,581,444,91
0,23.717,23717,102531,31.6914624,3169.14624,0.994452674,0.160645,0.808594,-0.556152,582,580,582,446,91
0,23.8,23800,102527,31.69120117,3169.120117,0.996430363,0.161621,0.8125,-0.553711,580,581,581,443,92
0,23.883,23883,102531,31.68970947,3168.970947,0.994201974,0.162598,0.80957,-0.553711,579,579,582,445,90
0,23.967,23967,102537,31.68776123,3168.776123,0.996131261,0.162109,0.811035,-0.555176,580,581,582,448,93
0,24.05,24050,102530,31.6849707,3168.49707,0.994735788,0.157715,0.811523,-0.553223,579,582,583,447,91
0,24.133,24133,102530,31.68334961,3168.334961,0.994125407,0.159668,0.810059,-0.553711,581,580,581,444,91
0,24.217,24217,102529,31.68101318,3168.101318,0.992691482,0.160645,0.808105,-0.553711,579,582,583,445,92
0,24.301,24301,102532,31.67692383,3167.692383,0.99444095,0.161621,0.810059,-0.553711,579,580,581,446,92
0,24.384,24384,102530,31.67744385,3167.744385,0.995554767,0.161133,0.811523,-0.553711,581,580,582,445,92
0,24.467,24467,102530,31.67510742,3167.510742,0.991015786,0.163574,0.807129,-0.55127,582,580,581,444,92
0,24.55,24550,102532,31.67497559,3167.497559,0.995590278,0.164551,0.810547,-0.554199,580,582,582,446,92
0,24.633,24633,102533,31.6730957,3167.30957,0.996688022,0.163086,0.811523,-0.555176,582,581,581,446,90
0,24.716,24716,102533,31.67166748,3167.166748,0.993555725,0.160156,0.808594,-0.554688,579,582,580,446,91
0,24.8,24800,102530,31.67004395,3167.004395,0.995098497,0.163086,0.80957,-0.555176,580,581,583,447,92
0,24.883,24883,102535,31.66855225,3166.855225,0.996098489,0.161133,0.811523,-0.554688,580,581,581,445,91
0,24.966,24966,102527,31.66666992,3166.666992,0.992963765,0.160645,0.808105,-0.554199,579,580,581,446,91
0,25.05,25050,102532,31.66180176,3166.180176,0.993168652,0.161133,0.808594,-0.553711,581,580,582,444,91
0,25.133,25133,102529,31.66108887,3166.108887,0.996098489,0.161133,0.811523,-0.554688,580,581,582,446,92
0,25.216,25216,102531,31.66102295,3166.102295,0.994746436,0.162598,0.80957,-0.554688,580,581,581,445,91
0,25.3,25300,102533,31.65797363,3165.797363,0.994025939,0.164062,0.810059,-0.552246,580,582,581,444,92
0,25.383,25383,102532,31.65745361,3165.745361,0.99589406,0.160645,0.811035,-0.555176,582,579,581,444,92
0,25.466,25466,102532,31.65647949,3165.647949,0.994295058,0.161621,0.810547,-0.552734,582,580,583,443,92
0,25.55,25550,102533,31.65128906,3165.128906,0.997335617,0.161133,0.811035,-0.557617,580,581,581,445,92
0,25.633,25633,102529,31.65232666,3165.232666,0.995792931,0.162598,0.811523,-0.553711,581,580,582,445,92
0,25.717,25717,102532,31.64966553,3164.966553,0.991591632,0.159668,0.807617,-0.552734,581,581,581,445,91
0,25.8,25800,102529,31.64797852,3164.797852,0.992691482,0.160645,0.808105,-0.553711,580,579,580,444,92
0,25.884,25884,102533,31.64564209,3164.564209,0.995349747,0.160645,0.811035,-0.554199,580,581,582,444,91
0,25.967,25967,102534,31.64356445,3164.356445,0.995778629,0.160156,0.812988,-0.552246,580,580,581,446,92
0,26.05,26050,102530,31.64122803,3164.122803,0.994513547,0.158691,0.810059,-0.554688,581,581,582,445,92
0,26.133,26133,102532,31.64122803,3164.122803,0.992703621,0.161621,0.808594,-0.552734,580,581,582,445,93
0,26.217,26217,102532,31.63986572,3163.986572,0.993047643,0.158691,0.808594,-0.554199,580,581,583,445,91
0,26.3,26300,102529,31.6369458,3163.69458,0.994712754,0.161621,0.810059,-0.554199,580,582,584,444,92
0,26.383,26383,102527,31.63383057,3163.383057,0.995326672,0.163574,0.809082,-0.556152,582,579,582,445,92
